Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
19238,3232,195019,1362,14612,63580,34661,2444,147355,147355,8780,1769,12140,1713,11591,1275,9512,48,1,5,1
5207,784,40668,53,58508,678093,139435,77,14952,15747,1056,3379,10280,3396,10279,6279,113683,89,387,384,1
16299,3434,258015,2084,66756,508289,187793,3321,67490,66124,9067,350,2778,496,3498,1217,6676,2,198,154,1
21103,3430,206701,1450,11832,48873,23631,1571,27476,27660,4358,2084,13229,2046,12752,9434,59400,426,61,59,1
5701,1360,150815,1016,28414,189959,52535,54,12488,12361,692,3373,11256,3382,11204,3180,63502,9,11,5,1
18265,4641,410244,2967,19558,136774,39178,886,34254,34254,4196,780,4517,941,5260,10036,94327,238,1022,937,1
17524,4613,404286,2253,80825,738660,180585,392,20109,20109,2137,6304,29458,6258,28925,6933,153261,12,12,3,1
2958,338,35809,44,215848,1621955,574106,2383,154309,157784,3266,1114,5685,1280,6406,578,6827,0,386,230,1
6362,1646,149536,870,18588,108717,45400,3352,191600,188826,9171,8664,35022,8497,34297,1804,11489,119,511,517,1
3666,446,43606,64,48095,480773,116167,451,71941,71649,2260,420,3168,589,3839,4321,27235,130,185,233,1
20477,4915,379217,4003,92559,665942,284725,2317,141504,145265,3999,3757,16174,3688,15666,616,7725,0,7,9,1
11583,2452,159097,1360,19843,163310,42377,4627,290526,287101,12681,18,890,13,828,2017,13850,103,882,724,1
34720,2962,357083,2665,64528,541530,142449,2480,154375,157676,3954,3838,15882,3847,15742,3944,26042,92,6,3,1
54595,7554,596506,4704,41300,295682,86552,3108,200818,198517,9045,2268,12765,2299,12791,917,5816,5,399,242,1
64279,12067,675225,5230,37547,300370,79240,810,59658,59072,2443,146,1293,144,1189,8188,51861,288,545,504,1
3613,458,46255,72,127876,706275,334049,73,14043,14051,916,3588,14963,3594,14790,2155,12730,38,204,246,1
10430,1577,145998,546,184613,1161780,646695,60,20309,20309,1725,4119,18117,4186,18369,961,6024,1,3,6,1
9588,2380,149119,1229,94327,724555,591297,460,21692,21692,1016,280,2772,421,3471,7788,49933,314,843,738,1
36944,3206,358450,2534,11763,48951,23456,2254,152128,155629,3221,1793,12341,1744,11817,2201,13280,52,9,3,1
77671,6432,542174,2933,19249,137668,35182,2307,149652,146660,7820,3358,10433,3369,10458,1166,6792,2,366,207,1
86150,5026,389991,549,13326,53999,25197,912,98926,98773,2899,487,3444,628,4125,7649,49000,320,532,488,1
3830,1044,62188,514,12476,45578,23627,339,17718,18907,2179,3688,18127,3658,17655,2755,17866,45,16,4,1
12976,2968,206935,1585,16203,86092,31014,1806,60922,60101,7936,2401,10507,2381,10558,913,5650,2,13,10,1
11709,2793,212159,1456,17448,125504,37495,1988,147779,147779,6818,284,2895,426,3446,8856,57503,322,0,0,1
3772,1032,60808,496,57253,465137,123553,334,17459,18652,2201,3618,17457,3599,16961,2310,13800,35,0,0,1
13591,3230,224866,1724,34319,233473,70940,2443,65054,64228,8206,2086,10277,2272,10242,1022,5750,5,319,189,1
9655,2161,149328,1092,148216,705586,360176,1622,153691,153940,6246,520,3541,666,4007,8502,59481,305,252,257,1
4790,742,34503,49,124008,970900,277782,474,21176,22367,2740,3706,18684,3686,18182,2335,13538,46,95,104,1
17937,4468,320894,2977,118404,862012,590886,1712,52911,52089,6924,2048,9675,1981,9663,317,3754,0,0,0,1
17311,3745,232994,2094,104426,794862,555812,678,35480,35480,3573,302,2672,450,3440,6277,42095,235,0,0,1
21929,1296,93342,201,147291,710340,360343,479,23955,24749,1554,3621,18190,3585,17622,315,3617,0,0,0,1
18505,4559,325114,2935,138244,959574,393837,73,15168,15041,1049,2187,11237,2218,11439,5949,37748,218,0,0,1
21310,4290,268250,2862,112167,903661,699635,29,28374,28374,1611,3257,18954,3222,18547,418,4577,0,0,0,1
3798,473,46333,122,58448,444020,218426,67,15024,14897,876,1167,3179,1165,3189,436,6171,0,0,0,1
16149,4030,295248,3002,143960,711849,361411,590,31875,31875,2419,619,3565,783,4252,1022,11696,14,0,0,1
47874,8913,491880,3664,139471,959611,367341,2434,153404,156840,3338,2548,14631,2504,14107,962,5865,4,0,0,1
38334,3056,357559,2316,115858,840062,799202,2930,139538,136675,8960,1651,6357,1609,6354,4454,30647,161,0,0,1
74795,8421,661970,5093,49292,377949,134118,530,121503,121297,2704,277,2639,406,3328,2922,17915,66,0,0,1
56510,11314,642974,5094,151699,709352,367877,435,19902,21339,2707,4036,18937,4033,18442,960,5571,2,0,0,1
4357,1246,85271,607,264512,1919285,1218405,1796,58276,57206,7491,2169,9806,2127,9866,5803,42324,146,0,0,1
22435,5567,381191,3838,27351,239179,60418,874,38607,38607,4421,2368,9894,2393,10155,3796,22217,55,0,0,1
26828,5649,355931,3923,163966,1500269,441697,455,19021,20927,2553,2474,15917,2442,15477,970,5728,3,0,0,1
8228,1881,138940,1277,16508,118940,35718,1770,55147,53606,7235,1143,3158,1148,3198,13660,91072,829,0,0,1
14839,3346,255042,2249,81550,783725,184853,669,35696,35696,3698,2366,10934,2396,11148,934,5652,1,0,0,1
9691,2134,127886,1108,236342,1713422,618801,364,18379,19567,2223,2827,17031,2789,16615,314,3732,0,0,0,1
64234,13688,723707,6491,14614,74893,35475,116,15539,15412,896,1397,27316,1407,27538,9078,80324,157,80,90,1
